원본경로	추정type	목표영역	판정	분할신호	줄수	비고
CLAUDE.md	policy	루트 유지	유지		63	
README.md	guide	각 폴더 유지	판정필요	concept+policy	29	29줄 — 작업 로그·폐기 기록 후보
acop_dojo/README.md	guide	각 폴더 유지	유지	report+policy	155	
datasets/README.md	guide	각 폴더 유지	유지	report+research+concept+policy	62	
datasets/commerce/DISTRIBUTION.md	dataset	data/catalog	유지		65	
datasets/commerce/coupang_order_history/REPORT.md	dataset	data/catalog	유지	report+concept	109	
datasets/commerce/coupang_order_history/docs/README.md	guide	각 폴더 유지	판정필요		14	14줄 — 작업 로그·폐기 기록 후보
datasets/commerce/coupang_order_history/docs/실제HTML_주문상세_배송조회.md	dataset	data/catalog	판정필요	decision+report+policy	140	신호 3종·140줄
datasets/commerce/coupang_order_history/docs/실제HTML_주문카드.md	dataset	data/catalog	유지		41	
datasets/commerce/coupang_order_history/docs/실제HTML_페이지네이션.md	dataset	data/catalog	판정필요	decision+plan+research+policy	210	신호 4종·210줄
datasets/commerce/coupang_order_history/docs/작업기록.md	dataset	data/catalog	판정필요		212	REPORT 분할 신호 (report-split.md)
datasets/commerce/coupang_order_history/docs/재작성_계획.md	plan	hub/delivery	유지	plan+concept+policy	74	
datasets/commerce/coupang_order_history/docs/클릭_구현_계획.md	plan	hub/delivery	유지	report+concept	54	
datasets/commerce/coupang_order_history/scripts/extension/README.md	guide	각 폴더 유지	유지		195	
datasets/commerce/coupang_order_history/scripts/extension_nextdata_ref/README.md	guide	각 폴더 유지	유지		163	
datasets/commerce/coupang_order_history/scripts/legacy/README.md	guide	각 폴더 유지	판정필요		17	17줄 — 작업 로그·폐기 기록 후보
datasets/commerce/courier_tracking/README.md	guide	각 폴더 유지	유지		88	
datasets/commerce/courier_tracking/REPORT.md	dataset	data/catalog	판정필요		159	REPORT 분할 신호 (report-split.md)
datasets/commerce/courier_tracking/legacy/README.md	guide	각 폴더 유지	제외		4	내용 없음
datasets/commerce/naver_order_history/README.md	guide	각 폴더 유지	유지		112	
datasets/commerce/naver_order_history/REPORT.md	dataset	data/catalog	판정필요		175	REPORT 분할 신호 (report-split.md)
datasets/commerce/naver_order_history/scripts/crawler/README.md	guide	각 폴더 유지	유지		91	
datasets/commerce/naver_order_history/scripts/crawler/legacy/README.md	guide	각 폴더 유지	판정필요		25	25줄 — 작업 로그·폐기 기록 후보
