# 대조필요 33건 — 대조 완료 (2026-09-03)
# 형식: 경로 / 판정 / 근거
경로	판정	근거
final_project_cs/wiki/records/handoff/06_가드레일_수치.md	이관	cs/quality/guardrails.md 신설. loop guard "동일 signature 2회" 가 없었다
final_project_cs/wiki/records/handoff/10_도메인_교체_가이드.md	이관	sample/quality/domain-swap.md 신설. sample 독립성의 실무 절차
final_project_cs/wiki/records/handoff/04_Team_모듈_계약.md	이관	team-boundary.md 에 "지켜야 할 3가지" 추가. prompt 감사 배선은 낡은 진술이었다
final_project_cs/wiki/records/handoff/05_분업_규칙.md	이관	governance/parallel-work.md 신설. sample 판 §5 가 더 있었다
final_project_cs/wiki/records/handoff/01_계약_Pydantic.md	이관완료	2026-09-03 fill 로 213줄 보강
final_project_cs/wiki/records/handoff/02_DB_스키마.md	이관완료	동. 243줄
final_project_cs/wiki/records/handoff/03_REST_MCP_인터페이스.md	이관완료	동. 160+24줄
final_project_cs/wiki/records/handoff/08_모듈_컴포넌트_목록.md	이관완료	동. 155줄
program/research/_법령사실_2026-08-15.md	이관	legal-basis.md·finetuning.md·research/index.md 셋으로 나눠 이관
program/research/_시장·출처근거.md	이관완료	positioning.md·market.md (누락 5번째로 찾아 채움)
program/research/테스트_사각지대_실측.md	제자리	CLAUDE.md 가 정본이라 부른다. dojo.py report 가 재생성
program/research/_WBS원본_2026-08-17.md	제자리	CLAUDE.md 가 일정 근거로 직접 참조
final_project_cs/wiki/records/manuals/2026-08-12_1520_환경_기동절차.md	이관완료	cs/operations/local-setup.md 에 반영. Docker 없음까지
final_project_cs/wiki/records/plans/2026-08-16_v7_격차해소_실행계획.md	제외	v7 기준. v8 로 대체됨
final_project_cs/wiki/records/plans/2026-08-30_2100_모듈토글_실효화_설계.md	이관완료	D-CS-003·teams/index.md 에 반영
final_project_cs/wiki/records/plans/2026-08-31_1154_테스트_사각지대_회귀테스트_설계.md	이관완료	quality/blind-spots.md 에 반영
final_project_cs/eval/reports/2026-08-12_평가결과_리포트.md	제외	옛 구독 도메인. 기판정
program/briefing/S-BRIEFING-POLISH.md	제외	완료된 작업 지시. 기판정
program/onboarding/trace/S-TRACE-VIDEO_리포트.md	제외	완료된 작업 결과. 기판정
program/plan/diagram/_다이어그램_근거.md	이관완료	architecture/diagrams.md 에 8종 반영
datasets/commerce/coupang_order_history/docs/재작성_계획.md	제외	완료된 구현 계획. 결과는 scraper-notes.md
datasets/commerce/coupang_order_history/docs/클릭_구현_계획.md	제외	동
final_project_cs/wiki/records/vision/ESTIMATION_BASELINE.md	제자리	vision/ 는 번호·주제로 읽는다
final_project_cs/wiki/records/vision/VISION-01~07	제자리	동 (7건)
program/research/_일일작업_2026-08-28.md	제외	작업 일지
program/research/_밤샘작업_요약_2026-08-20.md	제외	작업 일지
program/research/_정합성점검_2026-08-19.md	제외	기판정. 수정 제안이 적용 완료
program/scripts/_gap_audit.md	제외	우리 작업 산출물
program/scripts/_gap_audit2.md	제외	동

# 집계
# 이관 5 · 이관완료 8 · 제자리 10 · 제외 10
#
# ★이관 5건에서 누락 10번째가 나왔다 — 통신판매업 면제 기준(거래 50회 미만)과
#   개인정보 국외이전 요건(제28조의8), LoRA 데이터량 기준(5,000~20,000).
#
# ★04 에서 낡은 진술을 잡았다. 원본이 "prompt 감사 추적 호출부 0건" 이라
#   적고 있는데 지금은 배선돼 있다. 낡은 문서는 코드를 먼저 봐야 한다.
#
# ★05 의 두 판이 달랐다. sample 판에 §5(codex 에 넘길 일/못 넘길 일)가 더 있고
#   그게 지금 이 작업에 그대로 적용되는 규칙이었다.
