# 남은 84건 — 규칙 기반 일괄 판정 (2026-09-03)
# ★개별로 읽지 않았다. 앞선 검증에서 세운 규칙을 적용한 것이다.
#   evidence 는 8차에서 표본 10/10 이 맞았고, _raw 는 인용 검사가 자동으로 가른다.
#
경로	type	판정	목표영역	근거
datasets/commerce/coupang_order_history/docs/재작성_계획.md	plan	대조필요	?	개별 판정 필요
datasets/commerce/coupang_order_history/docs/클릭_구현_계획.md	plan	대조필요	?	개별 판정 필요
final_project_cs/docs/evidence/2026-08-31_테스트_사각지대_회귀테스트_검증.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-02_상태전이_규약_준수.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-03_동시성_appendonly_replay.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-04_checkpoint_projection_분리.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-05_ContextPack_토큰예산.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-06_정책FAQ_25건_300청크.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-07_tenant격리_PII.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-08_TeamModule_manifest_호환.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-09_인라인분류_전건실행.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-10_일일배치_급증report.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-12_outbox_원자성_replay.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
final_project_cs/docs/evidence/DoD-14_API키_scope_구분.md	evidence	제자리	—	evidence 원본이 정본. quality/evidence.md 가 색인한다
